Date,Close/Last,Volume,Open,High,Low
1427068800,$31.8025,150390400,$31.78,$31.9625,$31.63
1427155200,$31.6725,130988800,$31.8075,$32.01,$31.64
1427241600,$30.845,206022400,$31.635,$31.705,$30.845
1427328000,$31.06,189638440,$30.69,$31.22,$30.65
1427414400,$30.8125,157886880,$31.1425,$31.175,$30.7275
1427673600,$31.5925,187899920,$31.0125,$31.60,$31.00
1427760000,$31.1075,168077680,$31.5225,$31.6225,$31.0888
1427846400,$31.0625,161852560,$31.205,$31.28,$30.775
1427932800,$31.33,128685640,$31.2575,$31.39,$31.0475
1428278400,$31.8375,147669960,$31.1175,$31.8775,$31.0825
1428364800,$31.5025,139579240,$31.91,$32.0305,$31.495
1428451200,$31.40,149088360,$31.4625,$31.60,$31.2425
1428537600,$31.64,128977440,$31.4625,$31.645,$31.165
1428624000,$31.775,160503040,$31.4875,$31.8025,$31.315
1428883200,$31.7125,144994480,$32.0925,$32.1425,$31.6525
1428969600,$31.575,101673120,$31.75,$31.8225,$31.4775
1429056000,$31.695,115689680,$31.6025,$31.7825,$31.5025
1429142400,$31.5425,112080960,$31.57,$31.775,$31.5275
1429228800,$31.1875,205925240,$31.3875,$31.535,$31.115
1429488000,$31.90,187900440,$31.3925,$32.03,$31.2925
1429574400,$31.7275,129365520,$32.025,$32.05,$31.6675
1429660800,$32.155,150301680,$31.7475,$32.2175,$31.58
1429747200,$32.4175,182386760,$32.075,$32.605,$32.035
1429833600,$32.57,176838840,$32.6225,$32.6575,$32.3075
1430092800,$33.1625,380337040,$33.0775,$33.2825,$32.7875
1430179200,$32.64,474774800,$33.6138,$33.635,$32.3925
1430265600,$32.16,252252960,$32.54,$32.8975,$32.075
1430352000,$31.2875,331699920,$31.875,$31.97,$31.145
1430438400,$32.2375,229396000,$31.525,$32.5325,$31.325
1430697600,$32.175,203620080,$32.375,$32.6425,$32.065
1430784000,$31.45,196511080,$32.0375,$32.1125,$31.445
1430870400,$31.2525,288149480,$31.64,$31.6875,$30.84
1430956800,$31.315,170615680,$31.1925,$31.52,$31.005
1431043200,$31.905,221895280,$31.67,$31.905,$31.5275
1431302400,$31.58,167682960,$31.8475,$31.89,$31.4063
1431388800,$31.4662,192293800,$31.40,$31.72,$31.205
1431475200,$31.5025,138446400,$31.5375,$31.7975,$31.4675
1431561600,$32.2375,180495680,$31.8525,$32.2375,$31.79
1431648000,$32.1925,152513880,$32.2675,$32.3725,$32.0525
1431907200,$32.5475,202892960,$32.095,$32.68,$32.09
1431993600,$32.5175,177581760,$32.6725,$32.72,$32.41
1432080000,$32.515,145044680,$32.50,$32.745,$32.335
1432166400,$32.8475,158359120,$32.5175,$32.9075,$32.4575
1432252800,$33.135,181877360,$32.90,$33.2425,$32.85
1432598400,$32.405,282178680,$33.15,$33.2275,$32.28
1432684800,$33.0112,183084480,$32.585,$33.065,$32.5125
1432771200,$32.945,122715360,$32.965,$32.9875,$32.775
1432857600,$32.57,201896680,$32.8075,$32.8625,$32.475
1433116800,$32.6337,128064080,$32.80,$32.8475,$32.5125
1433203200,$32.49,134383920,$32.465,$32.6638,$32.33
1433289600,$32.53,123759240,$32.665,$32.735,$32.475
1433376000,$32.34,153343920,$32.395,$32.645,$32.2275
1433462400,$32.1625,142311040,$32.375,$32.4225,$32.09
1433721600,$31.95,210439600,$32.225,$32.3025,$31.7075
1433808000,$31.855,224011360,$31.675,$32.02,$31.405
1433894400,$32.22,156116760,$31.98,$32.335,$31.9625
1433980800,$32.1475,141378080,$32.295,$32.545,$32.1187
